Blog	new	my	how	they	one	we	is	it	in	if	just	has	for	was	can	not	that	s	t	on	or	with	as	at	you	all	more	are	be	by	into	from	this	out	their	have	which	an	i	like	about	but
Crooks and Liars	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bloggers Blog: Blogging the Blogsphere	2	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0
Schneier on Security	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0
Search Engine Roundtable	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Copyblogger	0	0	1	0	1	1	0	0	1	1	0	0	0	0	2	0	2	0	1	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0
Celebrity Gossip | Entertainment News | Celebrity News | TMZ.com	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	3	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
PaulStamatiou.com - Tech News, Reviews and Guides	5	4	2	3	2	15	5	14	11	2	4	3	19	9	4	2	9	12	5	20	7	21	8	5	2	4	3	0	2	9	1	6	7	5	6	1	2	3	19	7	1	5
Little Green Footballs	0	2	0	0	0	1	2	2	3	0	0	1	1	2	1	1	2	2	1	2	0	2	3	1	8	0	2	1	1	2	2	1	2	1	0	0	0	1	4	3	3	1
SpikedHumor - Today's Videos and Pictures	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
456 Berea Street	0	0	0	0	0	0	0	2	2	2	0	0	0	0	1	1	3	0	1	0	0	1	2	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	7	0	0	1
The Full Feed from HuffingtonPost.com	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0
Pharyngula	0	5	0	4	0	0	5	5	4	0	2	1	0	1	0	0	8	5	4	3	1	1	2	3	1	2	0	1	1	0	1	3	5	4	0	0	1	0	8	1	5	3
Creating Passionate Users	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0
TechCrunch	0	0	0	0	1	3	1	2	1	0	0	0	2	1	0	1	0	1	2	1	2	3	2	3	3	1	0	1	1	0	1	0	1	2	0	1	0	0	1	1	2	2
TreeHugger	0	0	0	2	0	0	1	2	0	0	0	1	2	0	0	0	1	3	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
Steve Pavlina's Personal Development Blog	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	1	0	0
NewsBusters.org - Exposing Liberal Media Bias	0	0	0	0	0	0	5	4	4	1	0	0	3	0	2	0	2	12	0	4	1	6	2	5	5	6	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	1
kottke.org	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0
MetaFilter	0	5	0	0	0	0	0	3	4	0	2	2	1	0	0	0	1	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	2
Oilman	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
The Daily Dish | By Andrew Sullivan	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0
Joi Ito's Web	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
A Consuming Experience (full feed)	2	30	6	19	12	1	24	81	64	20	14	2	28	10	26	17	40	38	42	39	45	34	31	17	61	8	10	11	11	10	3	21	15	3	6	23	16	7	41	5	1	19
mezzoblue	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	1
Matt Cutts: Gadgets, Google, and SEO	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	1	0
gapingvoid	0	3	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0
Wired Top Stories	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
The Official Google Blog	1	0	0	2	0	15	0	3	14	1	1	2	9	0	8	0	4	2	2	6	5	10	6	1	7	1	3	6	1	11	0	2	7	3	2	6	1	1	0	1	0	1
Joel on Software	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Boing Boing	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
Quick Online Tips	0	0	0	0
